,0,1,2,3,4,5,6,7,8,9
Beautiful Thing (1996),Beautiful Thing (1996),"Sum of Us, The (1994)",Edge of Seventeen (1998),"Designated Mourner, The (1997)",Faithful (1996),"Winter Guest, The (1997)",Avalanche (1978),"Velocity of Gary, The (1998)","Ugly, The (1997)",Safe Passage (1994)
Power 98 (1995),Power 98 (1995),Sour Grapes (1998),"Suburbans, The (1999)",Underworld (1997),Safe Men (1998),"Niagara, Niagara (1997)",Coldblooded (1995),"Last Time I Committed Suicide, The (1997)",Woman on Top (2000),Glory Daze (1996)
Gun Shy (2000),Gun Shy (2000),Mr. Magoo (1997),Bait (2000),Senseless (1998),Money Talks (1997),Problem Child 2 (1991),Jury Duty (1995),Final Destination (2000),North (1994),Spy Hard (1996)
Star Maps (1997),Star Maps (1997),"Chambermaid on the Titanic, The (1998)",Junk Mail (1997),Six Ways to Sunday (1997),"Quiet Room, The (1996)",Edge of Seventeen (1998),"Secret Adventures of Tom Thumb, The (1993)","Bank Dick, The (1940)",Jamaica Inn (1939),Young and Innocent (1937)
Ripe (1996),Ripe (1996),Lucie Aubrac (1997),Hav Plenty (1997),Carried Away (1996),"Cement Garden, The (1993)",Love Jones (1997),Rosetta (1999),Two Girls and a Guy (1997),Bliss (1997),"Yards, The (1999)"
Kicking and Screaming (1995),Kicking and Screaming (1995),"Myth of Fingerprints, The (1997)",Glory Daze (1996),Coldblooded (1995),SubUrbia (1997),Normal Life (1996),Dream With the Fishes (1997),Overnight Delivery (1996),"Big One, The (1997)",Traveller (1997)
Prancer (1989),Prancer (1989),I'll Be Home For Christmas (1998),Condorman (1981),D2: The Mighty Ducks (1994),Mr. Wonderful (1993),Lassie (1994),"Cat from Outer Space, The (1978)",Thomas and the Magic Railroad (2000),Kidnapped (1960),Homeward Bound II: Lost in San Francisco (1996)
Trick or Treat (1986),Trick or Treat (1986),Light of Day (1987),"Hunted, The (1995)",Rawhead Rex (1986),Little Nemo: Adventures in Slumberland (1992),"Fear, The (1995)",Howling II: Your Sister Is a Werewolf (1985),Knightriders (1981),Hellraiser III: Hell on Earth (1992),Wisdom (1986)
"Hunted, The (1995)","Hunted, The (1995)","Fear, The (1995)",Little Nemo: Adventures in Slumberland (1992),Trick or Treat (1986),Howling II: Your Sister Is a Werewolf (1985),Rawhead Rex (1986),Hello Mary Lou: Prom Night II (1987),Phantasm IV: Oblivion (1998),"Gate II: Trespassers, The (1990)","Amityville Curse, The (1990)"
Quest for Camelot (1998),Quest for Camelot (1998),Gumby: The Movie (1995),Isn't She Great? (2000),Avalanche (1978),Cosi (1996),Safe Passage (1994),Kika (1993),I Married A Strange Person (1997),"Designated Mourner, The (1997)",Different for Girls (1996)
Fatal Beauty (1987),Fatal Beauty (1987),Cronos (1992),"Good Mother, The (1988)",Howling II: Your Sister Is a Werewolf (1985),My Favorite Season (1993),Knightriders (1981),Faithful (1996),Cosi (1996),Safe Passage (1994),"Velocity of Gary, The (1998)"
"Wedding Gift, The (1994)","Wedding Gift, The (1994)",Faithful (1996),Different for Girls (1996),Kika (1993),Cosi (1996),Safe Passage (1994),"Velocity of Gary, The (1998)",Avalanche (1978),"Winter Guest, The (1997)","Designated Mourner, The (1997)"
Hot Lead and Cold Feet (1978),Hot Lead and Cold Feet (1978),Candleshoe (1977),Alvarez Kelly (1966),Cronos (1992),Hell Night (1981),Bad Girls (1994),Benji the Hunted (1987),Prom Night III: The Last Kiss (1989),Darby O'Gill and the Little People (1959),Condorman (1981)
"Evening Star, The (1996)","Evening Star, The (1996)",Gumby: The Movie (1995),Isn't She Great? (2000),One True Thing (1998),Mr. Wrong (1996),House Arrest (1996),That's Life! (1986),Billy's Hollywood Screen Kiss (1997),"Associate, The (1996)",Illuminata (1998)
Rich and Strange (1932),Rich and Strange (1932),"Circus, The (1928)","Lodger, The (1926)",Stage Fright (1950),"Winter Guest, The (1997)",Safe Passage (1994),Avalanche (1978),"Velocity of Gary, The (1998)",Different for Girls (1996),Cosi (1996)
Men Don't Leave (1990),Men Don't Leave (1990),"Wedding Gift, The (1994)",Benji the Hunted (1987),Condorman (1981),Cronos (1992),My Tutor (1983),Losing Isaiah (1995),Violets Are Blue... (1986),Faithful (1996),Avalanche (1978)
Touch (1997),Touch (1997),When Night Is Falling (1995),Mad Dog Time (1996),Native Son (1986),"Grass Harp, The (1995)","Alarmist, The (1997)",Violets Are Blue... (1986),Blood & Wine (1997),Mother Night (1996),Frankie Starlight (1995)
Violets Are Blue... (1986),Violets Are Blue... (1986),Cronos (1992),Avalanche (1978),Kika (1993),"Ugly, The (1997)","Velocity of Gary, The (1998)",Faithful (1996),Safe Passage (1994),"Winter Guest, The (1997)","Designated Mourner, The (1997)"
Poison (1991),Poison (1991),"Secret Adventures of Tom Thumb, The (1993)",Faust (1994),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),Madame Sousatzka (1988),Barenaked in America (1999),Kika (1993),"Designated Mourner, The (1997)",Avalanche (1978)
"Sheltering Sky, The (1990)","Sheltering Sky, The (1990)",Caught (1996),Caligula (1980),Cross of Iron (1977),Pandora and the Flying Dutchman (1951),Cronos (1992),Mike's Murder (1984),"Rapture, The (1991)","Secret Adventures of Tom Thumb, The (1993)",Crimes of the Heart (1986)
Love and Other Catastrophes (1996),Love and Other Catastrophes (1996),Faithful (1996),"Designated Mourner, The (1997)",Cosi (1996),"Velocity of Gary, The (1998)","Ugly, The (1997)",Kika (1993),Avalanche (1978),Different for Girls (1996),I Married A Strange Person (1997)
Wonderland (1997),Wonderland (1997),Avalanche (1978),Safe Passage (1994),"Winter Guest, The (1997)",I Married A Strange Person (1997),"Velocity of Gary, The (1998)","Designated Mourner, The (1997)","Ugly, The (1997)",Different for Girls (1996),Kika (1993)
One Night Stand (1997),One Night Stand (1997),Best Laid Plans (1999),"Babysitter, The (1995)",Hurlyburly (1998),To Gillian on Her 37th Birthday (1996),Lucie Aubrac (1997),Carried Away (1996),Hav Plenty (1997),Silent Fall (1994),"In Crowd, The (2000)"
Caught (1996),Caught (1996),Pandora and the Flying Dutchman (1951),Mike's Murder (1984),Lawn Dogs (1997),"Sheltering Sky, The (1990)",Lulu on the Bridge (1998),"Bedroom Window, The (1987)","Winter Guest, The (1997)","Designated Mourner, The (1997)",I Married A Strange Person (1997)
Different for Girls (1996),Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Edge of Seventeen (1998),Edge of Seventeen (1998),"Chambermaid on the Titanic, The (1998)",Nadja (1994),Nightmares (1983),"Sum of Us, The (1994)",Avalanche (1978),"Quiet Room, The (1996)",Junk Mail (1997),Six Ways to Sunday (1997),"Winter Guest, The (1997)"
"Cure, The (1995)","Cure, The (1995)",Hollow Reed (1996),Nadja (1994),Nightmares (1983),Come See the Paradise (1990),Avalanche (1978),"Velocity of Gary, The (1998)",Different for Girls (1996),Faithful (1996),Cosi (1996)
Live Flesh (1997),Live Flesh (1997),Unhook the Stars (1996),"Velocity of Gary, The (1998)",Different for Girls (1996),"Ugly, The (1997)",Faithful (1996),I Married A Strange Person (1997),"Winter Guest, The (1997)",Avalanche (1978),"Designated Mourner, The (1997)"
"Good Mother, The (1988)","Good Mother, The (1988)",Cronos (1992),My Favorite Season (1993),Nightmares (1983),Nadja (1994),Prick Up Your Ears (1987),Cutter's Way (1981),That's Life! (1986),Violets Are Blue... (1986),Avalanche (1978)
Gumby: The Movie (1995),Gumby: The Movie (1995),Isn't She Great? (2000),Billy's Hollywood Screen Kiss (1997),That Old Feeling (1997),Mr. Wrong (1996),Avalanche (1978),Different for Girls (1996),"Ugly, The (1997)",Faithful (1996),I Married A Strange Person (1997)
King Creole (1958),King Creole (1958),Blue Hawaii (1961),Silent Fall (1994),Roustabout (1964),Bad Company (1995),"Bridge at Remagen, The (1969)","Two Jakes, The (1990)",Rough Night in Jericho (1967),How I Won the War (1967),Penitentiary II (1982)
That's Life! (1986),That's Life! (1986),Extremities (1986),Illuminata (1998),No Small Affair (1984),Nightmares (1983),Nadja (1994),Cronos (1992),"Winter Guest, The (1997)",Safe Passage (1994),Avalanche (1978)
Get Bruce (1999),Get Bruce (1999),"Hanging Garden, The (1997)",Avalanche (1978),Safe Passage (1994),"Designated Mourner, The (1997)",Kika (1993),Cosi (1996),Faithful (1996),Different for Girls (1996),I Married A Strange Person (1997)
Roadside Prophets (1992),Roadside Prophets (1992),Safe Passage (1994),Cosi (1996),"Velocity of Gary, The (1998)",Avalanche (1978),"Winter Guest, The (1997)","Ugly, The (1997)",I Married A Strange Person (1997),Different for Girls (1996),Faithful (1996)
"Ugly, The (1997)",Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Nightmares (1983),Nightmares (1983),Nadja (1994),Avalanche (1978),Cosi (1996),Safe Passage (1994),"Velocity of Gary, The (1998)","Winter Guest, The (1997)","Designated Mourner, The (1997)",I Married A Strange Person (1997),Kika (1993)
"Favor, The (1994)","Favor, The (1994)","Velocity of Gary, The (1998)",Avalanche (1978),Different for Girls (1996),"Ugly, The (1997)",Faithful (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)",Kika (1993),"Winter Guest, The (1997)"
Benji the Hunted (1987),Benji the Hunted (1987),Condorman (1981),"Winter Guest, The (1997)",Kika (1993),Different for Girls (1996),Cosi (1996),"Ugly, The (1997)",Safe Passage (1994),Faithful (1996),I Married A Strange Person (1997)
Loaded (1994),Loaded (1994),For the Love of Benji (1977),"Velocity of Gary, The (1998)",Safe Passage (1994),"Ugly, The (1997)",Different for Girls (1996),Faithful (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)",Avalanche (1978)
I'll Do Anything (1994),I'll Do Anything (1994),Cronos (1992),Mother Night (1996),Before and After (1996),"Good Mother, The (1988)","Very Thought of You, The (1998)",Bushwhacked (1995),House Party 3 (1994),"Guardian, The (1990)",Solar Crisis (1993)
My Favorite Season (1993),My Favorite Season (1993),Cronos (1992),"Good Mother, The (1988)","Ugly, The (1997)",Cosi (1996),Faithful (1996),Safe Passage (1994),I Married A Strange Person (1997),Avalanche (1978),"Velocity of Gary, The (1998)"
Denise Calls Up (1995),Denise Calls Up (1995),Unzipped (1995),Different for Girls (1996),"Winter Guest, The (1997)",Kika (1993),"Ugly, The (1997)",Safe Passage (1994),"Velocity of Gary, The (1998)",Avalanche (1978),Cosi (1996)
Faithful (1996),Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Hollow Reed (1996),Hollow Reed (1996),Different for Girls (1996),Avalanche (1978),I Married A Strange Person (1997),Cosi (1996),Faithful (1996),Safe Passage (1994),"Winter Guest, The (1997)",Kika (1993),"Designated Mourner, The (1997)"
Children of the Revolution (1996),Children of the Revolution (1996),"Designated Mourner, The (1997)",Avalanche (1978),New Rose Hotel (1998),Kika (1993),Different for Girls (1996),Cosi (1996),"Ugly, The (1997)",Safe Passage (1994),Faithful (1996)
House Arrest (1996),House Arrest (1996),Before and After (1996),House Party 2 (1991),National Lampoon's Senior Trip (1995),Mr. Wrong (1996),Gumby: The Movie (1995),Violets Are Blue... (1986),Isn't She Great? (2000),Dear God (1996),Life with Mikey (1993)
Nowhere (1997),Nowhere (1997),Heart Condition (1990),Gumby: The Movie (1995),Isn't She Great? (2000),Violets Are Blue... (1986),"Winter Guest, The (1997)",Faithful (1996),Different for Girls (1996),"Ugly, The (1997)",Avalanche (1978)
Stage Fright (1950),Stage Fright (1950),I Confess (1953),Rich and Strange (1932),Illtown (1996),Blink (1994),Crimes of the Heart (1986),Family Plot (1976),Niagara (1953),Rope (1948),Cronos (1992)
I Married A Strange Person (1997),Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
"Wife, The (1995)","Wife, The (1995)",Last Summer in the Hamptons (1995),Hard Core Logo (1996),"Perils of Pauline, The (1947)",Splendor (1999),Careful (1992),Better Than Chocolate (1999),Funny Bones (1995),I Went Down (1997),"Designated Mourner, The (1997)"
"Designated Mourner, The (1997)",Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Heart Condition (1990),Heart Condition (1990),Nowhere (1997),No Small Affair (1984),Young Doctors in Love (1982),Fantastic Voyage (1966),That's Life! (1986),Illuminata (1998),Raise the Titanic (1980),Violets Are Blue... (1986),House (1986)
Land Before Time III: The Time of the Great Giving (1995),Land Before Time III: The Time of the Great Giving (1995),Thumbelina (1994),Fluke (1995),Country (1984),Beautiful Thing (1996),"Winter Guest, The (1997)",Avalanche (1978),Different for Girls (1996),Safe Passage (1994),Cosi (1996)
Mother Night (1996),Mother Night (1996),Violets Are Blue... (1986),Cronos (1992),Before and After (1996),Lost Highway (1997),"Rapture, The (1991)",Touch (1997),I'll Do Anything (1994),"Good Mother, The (1988)","Guardian, The (1990)"
Office Killer (1997),Office Killer (1997),Cosi (1996),Avalanche (1978),I Married A Strange Person (1997),Faithful (1996),"Designated Mourner, The (1997)","Velocity of Gary, The (1998)","Ugly, The (1997)",Safe Passage (1994),Different for Girls (1996)
"Third Miracle, The (1999)","Third Miracle, The (1999)","Velocity of Gary, The (1998)",Safe Passage (1994),Different for Girls (1996),I Married A Strange Person (1997),Miss Julie (1999),Cosi (1996),Avalanche (1978),"Designated Mourner, The (1997)",Beyond Silence (1996)
"Winter Guest, The (1997)",Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Anne Frank Remembered (1995),Anne Frank Remembered (1995),Benji the Hunted (1987),Condorman (1981),Kika (1993),Faithful (1996),Avalanche (1978),Cosi (1996),"Velocity of Gary, The (1998)","Designated Mourner, The (1997)","Ugly, The (1997)"
Avalanche (1978),Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Cross of Iron (1977),Cross of Iron (1977),"Devil's Brigade, The (1968)",Cronos (1992),"Sheltering Sky, The (1990)",Caligula (1980),Hell Night (1981),Darby O'Gill and the Little People (1959),Asylum (1972),"Good Mother, The (1988)",Different for Girls (1996)
"Boys of St. Vincent, The (1993)","Boys of St. Vincent, The (1993)","Secret Adventures of Tom Thumb, The (1993)",Nadja (1994),Nightmares (1983),Desert Bloom (1986),Faust (1994),Poison (1991),Bhaji on the Beach (1993),"Quiet Room, The (1996)",Junk Mail (1997)
Mass Appeal (1984),Mass Appeal (1984),Cronos (1992),Violets Are Blue... (1986),Faithful (1996),Avalanche (1978),"Winter Guest, The (1997)",Safe Passage (1994),"Designated Mourner, The (1997)",I Married A Strange Person (1997),Cosi (1996)
Frankie Starlight (1995),Frankie Starlight (1995),Jimmy Hollywood (1994),Touch (1997),"Alarmist, The (1997)",Feast of July (1995),Last Dance (1996),Born American (1986),Music From Another Room (1998),"Grass Harp, The (1995)",Native Son (1986)
"Velocity of Gary, The (1998)",Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Roommates (1995),Roommates (1995),Turbulence (1997),Radioland Murders (1994),"Very Thought of You, The (1998)",Before and After (1996),"Story of G.I. Joe, The (1945)",Cronos (1992),Lady of Burlesque (1943),King Creole (1958),Pot O' Gold (1941)
Vibes (1988),Vibes (1988),Haunted Honeymoon (1986),Who's That Girl? (1987),She-Devil (1989),That's Life! (1986),Madame Butterfly (1995),Illuminata (1998),Date with an Angel (1987),No Small Affair (1984),Girl 6 (1996)
Mute Witness (1994),Mute Witness (1994),Kika (1993),I Married A Strange Person (1997),Faithful (1996),"Velocity of Gary, The (1998)","Ugly, The (1997)",Different for Girls (1996),"Winter Guest, The (1997)",Savior (1998),Cosi (1996)
Nadja (1994),Nadja (1994),Nightmares (1983),Kika (1993),"Designated Mourner, The (1997)",Avalanche (1978),Different for Girls (1996),"Ugly, The (1997)",Faithful (1996),I Married A Strange Person (1997),Cosi (1996)
"Underneath, The (1995)","Underneath, The (1995)",Last Night (1998),"Secret Adventures of Tom Thumb, The (1993)","Favor, The (1994)",Mortal Thoughts (1991),Madame Sousatzka (1988),Faust (1994),Poison (1991),Bhaji on the Beach (1993),Ayn Rand: A Sense of Life (1997)
Illuminata (1998),Illuminata (1998),That's Life! (1986),No Small Affair (1984),Extremities (1986),Candleshoe (1977),Miami Rhapsody (1995),Vibes (1988),Heart Condition (1990),"Evening Star, The (1996)",It Came from Hollywood (1982)
When Night Is Falling (1995),When Night Is Falling (1995),"Designated Mourner, The (1997)",Kika (1993),"Velocity of Gary, The (1998)",I Married A Strange Person (1997),Faithful (1996),Cosi (1996),Avalanche (1978),"Ugly, The (1997)","Winter Guest, The (1997)"
Safe Passage (1994),Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Normal Life (1996),Normal Life (1996),Glory Daze (1996),Coldblooded (1995),Traveller (1997),Violets Are Blue... (1986),Sour Grapes (1998),Underworld (1997),"Bank Dick, The (1940)",Cavalcade (1933),"Suburbans, The (1999)"
Jason's Lyric (1994),Jason's Lyric (1994),Trick (1999),"Tango Lesson, The (1997)",Cronos (1992),Violets Are Blue... (1986),Come See the Paradise (1990),It's My Party (1995),"Good Mother, The (1988)",Music From Another Room (1998),Feast of July (1995)
"Secret Adventures of Tom Thumb, The (1993)","Secret Adventures of Tom Thumb, The (1993)",Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),Faust (1994),Poison (1991),"Boys of St. Vincent, The (1993)",Barenaked in America (1999),Last Night (1998),Crimes of the Heart (1986),Pather Panchali (1955)
Madame Butterfly (1995),Madame Butterfly (1995),Cosi (1996),"Velocity of Gary, The (1998)","Ugly, The (1997)",Kika (1993),"Designated Mourner, The (1997)",Different for Girls (1996),Safe Passage (1994),Avalanche (1978),I Married A Strange Person (1997)
Trust (1990),Trust (1990),Public Access (1993),Heidi Fleiss: Hollywood Madam (1995),Different for Girls (1996),Cosi (1996),"Velocity of Gary, The (1998)",Avalanche (1978),"Winter Guest, The (1997)",Safe Passage (1994),"Designated Mourner, The (1997)"
Cosi (1996),Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Cronos (1992),Cronos (1992),"Good Mother, The (1988)",Safe Passage (1994),I Married A Strange Person (1997),"Winter Guest, The (1997)",Avalanche (1978),"Ugly, The (1997)","Velocity of Gary, The (1998)",Different for Girls (1996),Faithful (1996)
Kika (1993),Avalanche (1978),Cosi (1996),I Married A Strange Person (1997),"Designated Mourner, The (1997)","Winter Guest, The (1997)","Ugly, The (1997)","Velocity of Gary, The (1998)",Safe Passage (1994),Faithful (1996),Different for Girls (1996)
Abbott and Costello Meet Frankenstein (1948),Abbott and Costello Meet Frankenstein (1948),Return of the Fly (1959),"Guardian, The (1990)",Curse of the Puppet Master (1998),Prom Night IV: Deliver Us From Evil (1992),"Velocity of Gary, The (1998)",I Married A Strange Person (1997),Safe Passage (1994),"Designated Mourner, The (1997)","Winter Guest, The (1997)"
"Guardian, The (1990)","Guardian, The (1990)",Safe Passage (1994),Cosi (1996),Kika (1993),Faithful (1996),"Velocity of Gary, The (1998)","Ugly, The (1997)",I Married A Strange Person (1997),Avalanche (1978),"Designated Mourner, The (1997)"
Last Night (1998),Last Night (1998),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),"Secret Adventures of Tom Thumb, The (1993)",Barenaked in America (1999),Broken Vessels (1998),Montana (1998),Savior (1998),Pather Panchali (1955),Underground (1995)
Careful (1992),Careful (1992),Last Summer in the Hamptons (1995),"Wife, The (1995)",Hard Core Logo (1996),"Perils of Pauline, The (1947)",Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),Splendor (1999),Funny Bones (1995),"Secret Adventures of Tom Thumb, The (1993)"
"Tango Lesson, The (1997)","Tango Lesson, The (1997)",Jason's Lyric (1994),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),My Son the Fanatic (1998),Little City (1998),"Secret Adventures of Tom Thumb, The (1993)",Barenaked in America (1999),Last Night (1998),Love and Basketball (2000)
Ladybird Ladybird (1994),Ladybird Ladybird (1994),Bandit Queen (1994),Aparajito (1956),Vanya on 42nd Street (1994),Three Seasons (1999),Crime and Punishment in Suburbia (2000),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),Peeping Tom (1960),Cyclo (1995)
My Son the Fanatic (1998),My Son the Fanatic (1998),Urbania (2000),Bhaji on the Beach (1993),Ayn Rand: A Sense of Life (1997),"Secret Adventures of Tom Thumb, The (1993)",Barenaked in America (1999),Last Night (1998),Love and a .45 (1994),Cecil B. Demented (2000),Pather Panchali (1955)
Panther (1995),Panther (1995),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),Hype! (1996),House Party 2 (1991),Little Odessa (1994),"Funeral, The (1996)",Barenaked in America (1999),Kama Sutra: A Tale of Love (1996),"Secret Adventures of Tom Thumb, The (1993)"
Love and a .45 (1994),Love and a .45 (1994),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),My Son the Fanatic (1998),"Addiction, The (1995)",Buena Vista Social Club (1999),I Shot Andy Warhol (1996),My Life So Far (1999),Henry Fool (1997),Four Rooms (1995)
Purple Noon (1960),Purple Noon (1960),Kissed (1996),Bhaji on the Beach (1993),Ayn Rand: A Sense of Life (1997),Cyclo (1995),Hana-bi (1997),Suture (1993),"Secret Adventures of Tom Thumb, The (1993)",Rain (1932),Barenaked in America (1999)
Underground (1995),Underground (1995),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),"Secret Adventures of Tom Thumb, The (1993)",Barenaked in America (1999),Last Night (1998),Pather Panchali (1955),My Son the Fanatic (1998),Carmen (1984),Poison (1991)
Pather Panchali (1955),Pather Panchali (1955),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),"Secret Adventures of Tom Thumb, The (1993)",Seven Chances (1925),Barenaked in America (1999),Last Night (1998),Artemisia (1997),Underground (1995),My Son the Fanatic (1998)
Aparajito (1956),Aparajito (1956),All the Vermeers in New York (1990),Bandit Queen (1994),Ladybird Ladybird (1994),Three Seasons (1999),Dangerous Game (1993),Bhaji on the Beach (1993),Ayn Rand: A Sense of Life (1997),Fitzcarraldo (1982),Pal Joey (1957)
Desert Bloom (1986),Desert Bloom (1986),Dancing at Lughnasa (1998),That's Life! (1986),"Secret Adventures of Tom Thumb, The (1993)",It Came from Hollywood (1982),My Life So Far (1999),Airport 1975 (1974),"Boys of St. Vincent, The (1993)",Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993)
My Life So Far (1999),My Life So Far (1999),Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),Dancing at Lughnasa (1998),"Secret Adventures of Tom Thumb, The (1993)",Desert Bloom (1986),Barenaked in America (1999),Last Night (1998),Pather Panchali (1955),Love and a .45 (1994)
Ayn Rand: A Sense of Life (1997),Bhaji on the Beach (1993),Ayn Rand: A Sense of Life (1997),"Secret Adventures of Tom Thumb, The (1993)",Barenaked in America (1999),Last Night (1998),Pather Panchali (1955),Underground (1995),My Son the Fanatic (1998),Carmen (1984),Poison (1991)
Withnail and I (1987),Withnail and I (1987),"Brother, Can You Spare a Dime? (1975)",Desert Bloom (1986),"Secret Adventures of Tom Thumb, The (1993)","Boys of St. Vincent, The (1993)",Bhaji on the Beach (1993),Ayn Rand: A Sense of Life (1997),Stars and Bars (1988),"Falcon and the Snowman, The (1984)",Baraka (1992)
Barenaked in America (1999),Barenaked in America (1999),Bhaji on the Beach (1993),Ayn Rand: A Sense of Life (1997),"Secret Adventures of Tom Thumb, The (1993)",Four Days in September (1997),Last Night (1998),Pather Panchali (1955),Underground (1995),My Son the Fanatic (1998),Carmen (1984)
Bhaji on the Beach (1993),Bhaji on the Beach (1993),Ayn Rand: A Sense of Life (1997),"Secret Adventures of Tom Thumb, The (1993)",Barenaked in America (1999),Last Night (1998),Pather Panchali (1955),Underground (1995),My Son the Fanatic (1998),Carmen (1984),Poison (1991)
Picture Bride (1995),Picture Bride (1995),Jack and Sarah (1995),"Inkwell, The (1994)",Washington Square (1997),Pushing Hands (1992),Cyclo (1995),T-Men (1947),Jungle Fever (1991),"Old Man and the Sea, The (1958)",Even Cowgirls Get the Blues (1993)
Assassination (1987),Assassination (1987),Killer: A Journal of Murder (1995),Shanghai Surprise (1986),Born American (1986),Last Dance (1996),Belizaire the Cajun (1986),Music From Another Room (1998),Feast of July (1995),Relative Fear (1994),"Journey of August King, The (1995)"
Mr. Jones (1993),Mr. Jones (1993),I'll Be Home For Christmas (1998),Squanto: A Warrior's Tale (1994),Last Dance (1996),"Journey of August King, The (1995)",Relative Fear (1994),Feast of July (1995),Music From Another Room (1998),Born American (1986),Belizaire the Cajun (1986)
Woo (1998),Woo (1998),Bad Moon (1996),"Air Up There, The (1994)",Braddock: Missing in Action III (1988),Blank Check (1994),Mortal Kombat: Annihilation (1997),Tall Tale (1994),Almost Heroes (1998),Play it to the Bone (1999),Get Carter (2000)
"War, The (1994)","War, The (1994)",Bastard Out of Carolina (1996),Illtown (1996),Something to Talk About (1995),Wide Awake (1998),Jane Eyre (1996),Marvin's Room (1996),"Cry, the Beloved Country (1995)",Washington Square (1997),Tigerland (2000)
Woman on Top (2000),Woman on Top (2000),"Suburbans, The (1999)",Underworld (1997),Sour Grapes (1998),"Niagara, Niagara (1997)",Safe Men (1998),Coldblooded (1995),"Last Time I Committed Suicide, The (1997)",Glory Daze (1996),Power 98 (1995)
Kim (1950),Kim (1950),Penitentiary II (1982),"Tomb of Ligeia, The (1965)",Career Girls (1997),Silent Fall (1994),Surf Nazis Must Die (1987),Body Shots (1999),Committed (2000),"Innocents, The (1961)",Angel on My Shoulder (1946)
Career Girls (1997),Career Girls (1997),Kim (1950),Committed (2000),Passion of Mind (1999),Joe Gould's Secret (2000),Agnes Browne (1999),"Governess, The (1998)",Where the Buffalo Roam (1980),Me Myself I (2000),Waking the Dead (1999)
Let's Talk About Sex (1998),Let's Talk About Sex (1998),Cobb (1994),Shanghai Surprise (1986),Burglar (1987),Poison Ivy II (1995),Indecent Proposal (1993),Guilty as Sin (1993),Sommersby (1993),Police Academy 2: Their First Assignment (1985),Poison (1991)
Strangeland (1998),Strangeland (1998),Joe the King (1999),Psycho Beach Party (2000),Prom Night IV: Deliver Us From Evil (1992),"In Crowd, The (2000)",Shadow Conspiracy (1997),"Hot Spot, The (1990)","Mummy's Ghost, The (1944)",Urban Legends: Final Cut (2000),Body Shots (1999)
